Symbol,Timestamp,Last,Bid,Ask,BidSize,AskSize,Volume,Open,High,Low,Close,Spread,VWAP,RSI,EMA9,EMA26,ALMA,ATR,up_001_002,up_002_005,up_005_010,up_010_plus,dn_001_002,dn_002_005,dn_005_010,dn_010_plus
NVDA,1749244357914,141.9200,141.9100,141.9300,1400,200,170,141.9300,141.9300,141.9300,141.9300,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244360462,141.9200,141.9100,141.9200,1400,400,170,141.9300,141.9300,141.9300,141.9300,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244360997,141.9200,141.9100,141.9200,1400,400,170,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244361261,141.9200,141.9100,141.9200,1400,400,170,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244361751,141.9200,141.9100,141.9200,1300,400,170,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244361751,141.9100,141.9100,141.9200,1300,400,173,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244361751,141.9200,141.9100,141.9200,1300,400,183,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244361751,141.9100,141.9100,141.9200,1300,400,186,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244362484,141.9100,141.9100,141.9200,1200,400,186,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244364260,141.9100,141.9100,141.9200,1200,400,186,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244364783,141.9200,141.9100,141.9200,1200,400,189,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244365510,141.9200,141.9100,141.9200,1200,400,189,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244366009,141.9200,141.9100,141.9200,1200,400,189,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244366162,141.9100,141.9100,141.9200,1200,400,190,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244367017,141.9100,141.9100,141.9200,1200,400,190,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244367414,141.9200,141.9100,141.9200,1200,400,455,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244368274,141.9200,141.9100,141.9200,1200,400,720,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244369001,141.9100,141.9100,141.9200,1200,400,773,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244371006,141.9100,141.9100,141.9200,1200,400,773,141.9200,141.9200,141.9100,141.9200,0.0100,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244375891,141.9100,141.9100,141.9300,1200,200,773,141.9200,141.9200,141.9100,141.9200,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244376065,141.9100,141.9100,141.9300,1200,200,773,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244377531,141.9100,141.9100,141.9300,1200,200,773,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244377531,141.9100,141.9100,141.9300,1200,100,773,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244377531,141.9100,141.9100,141.9300,1200,200,773,141.9100,141.9100,141.9100,141.9100,0.0200,142.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
